,number,T_C,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
78,25,1280.1239999999998,MI,LL8_401,Fissure 8 (Mid July),2.01,11.02,0.2,9.75,0.33,2.03,49.59,13.24,11.33,0.15,0.5,567.0,563.6550572,0.88,47.79,40.51,11.09,0.05,0.23,0.14,0.39
79,82,1236.507,MI,LL8_402a,Fissure 8 (Mid July),2.24,12.02,0.26,10.21,0.34,2.17,49.73,11.07,11.33,0.25,0.5,29.0,0.0,0.86,45.68,40.03,12.74,0.05,0.23,0.18,0.38
80,83,1235.502,MI,LL8_402b,Fissure 8 (Mid July),2.33,11.75,0.2,10.32,0.38,2.13,50.0,11.02,11.34,0.17,0.5,36.0,0.0,0.86,45.68,40.03,12.74,0.05,0.23,0.18,0.38
81,6,1275.0990000000002,MI,LL8_404_a,Fissure 8 (Mid July),2.18,11.53,0.17,9.88,0.41,2.1,48.9,12.99,11.33,0.14,0.5,488.0,619.2847061,0.89,47.35,40.28,10.96,0.06,0.26,0.14,0.4
82,7,1275.7019999999998,MI,LL8_404_b,Fissure 8 (Mid July),2.08,11.46,0.21,9.8,0.37,2.13,49.06,13.02,11.34,0.2,0.5,504.0,658.622874,0.88,47.2,40.07,11.04,0.05,0.25,0.15,0.41
83,19,1228.6680000000001,MI,LL8_406,Fissure 8 (Mid July),2.31,12.28,0.28,10.91,0.47,2.59,48.56,10.68,11.33,0.2,0.5,324.0,844.4250763,0.86,45.79,40.02,12.8,0.04,0.26,0.18,0.33
84,24,1270.6770000000001,MI,LL8_426,Fissure 8 (Mid July),2.14,11.22,0.2,9.56,0.39,2.12,49.78,12.77,11.34,0.14,0.5,538.0,696.3377475,0.88,47.84,40.61,11.52,0.05,0.23,0.16,0.38
85,94,1198.518,MI,LL8_435,Fissure 8 (Mid July),2.36,13.09,0.26,10.22,0.52,2.68,49.75,9.18,11.33,0.25,0.5,201.0,1088.249001,0.84,44.51,40.03,15.03,0.03,0.26,0.21,0.28
86,84,1238.3159999999998,MI,LL8_447,Fissure 8 (Mid July),2.05,12.17,0.42,10.17,0.31,2.66,49.21,11.16,11.34,0.16,0.5,61.0,0.0,0.87,46.22,40.74,12.81,0.05,0.24,0.18,0.33
87,23,1246.5569999999998,MI,LL8_606,Fissure 8 (Mid July),2.11,11.7,0.25,10.26,0.41,2.28,49.53,11.57,11.34,0.2,0.5,581.0,687.83533,0.87,46.8,40.11,12.42,0.05,0.24,0.15,0.36
88,8,1289.973,MI,LL8_610,Fissure 8 (Mid July),1.99,10.98,0.19,9.58,0.34,2.02,49.28,13.73,11.34,0.2,0.5,887.0,620.3862327,0.89,48.01,40.37,10.69,0.05,0.23,0.15,0.4
89,21,1271.6819999999998,MI,LL8_611,Fissure 8 (Mid July),2.13,11.35,0.22,9.76,0.37,2.05,49.48,12.82,11.33,0.15,0.5,529.0,575.5892762,0.88,47.34,40.1,11.3,0.05,0.24,0.14,0.39
90,9,1169.976,MI,LL8_612_a,Fissure 8 (Mid July),2.4,13.09,0.26,10.98,0.35,2.19,51.03,7.76,11.34,0.21,0.5,645.0,1000.841759,0.81,42.77,39.19,17.66,0.04,0.27,0.22,0.23
91,10,1242.7379999999998,MI,LL8_613_a,Fissure 8 (Mid July),2.2,11.82,0.19,10.35,0.42,2.48,49.3,11.38,11.33,0.15,0.5,38.0,724.4211531,0.87,46.94,40.32,12.51,0.03,0.25,0.16,0.39
92,1,1201.533,MI,LL8_613b,Fissure 8 (Mid July),2.47,12.9,0.23,10.7,0.35,2.39,49.77,9.33,11.34,0.14,0.5,213.0,380.716223,0.84,44.8,39.91,14.8,0.04,0.25,0.19,0.33
93,2,1287.5610000000001,MI,LL8_615,Fissure 8 (Mid July),2.13,10.93,0.23,9.44,0.33,1.82,49.68,13.61,11.34,0.15,0.5,305.0,494.3745463,0.89,48.18,40.59,10.88,0.05,0.24,0.14,0.4
94,22,1269.873,MI,LL8_616_a,Fissure 8 (Mid July),2.09,11.72,0.2,9.63,0.34,2.07,49.41,12.73,11.34,0.13,0.5,481.0,597.5154428,0.88,46.74,39.77,11.29,0.05,0.22,0.15,0.37
95,15,1272.2849999999999,MI,LL8_616_b,Fissure 8 (Mid July),2.07,11.39,0.2,9.33,0.37,2.04,49.93,12.85,11.34,0.14,0.5,653.0,608.4105607,0.88,47.09,40.32,11.38,0.05,0.22,0.15,0.39
96,3,1282.335,MI,LL8_617_a,Fissure 8 (Mid July),2.09,11.32,0.29,9.76,0.32,2.01,49.03,13.35,11.34,0.14,0.5,360.0,603.9334656,0.89,48.07,40.66,10.96,0.05,0.24,0.14,0.4
97,11,1282.536,MI,LL8_617_b,Fissure 8 (Mid July),2.04,11.41,0.24,9.65,0.33,2.04,49.09,13.36,11.33,0.17,0.5,585.0,575.4868172,0.89,48.28,40.64,11.03,0.05,0.23,0.15,0.4
98,4,1265.451,MI,LL8_623_b,Fissure 8 (Mid July),2.1,11.9,0.3,10.02,0.45,2.45,48.42,12.51,11.33,0.18,0.5,791.0,601.2885191,0.88,47.52,40.45,11.41,0.05,0.24,0.16,0.36
99,95,1214.397,MI,LL8_623_c,Fissure 8 (Mid July),2.28,12.39,0.3,10.48,0.44,2.65,49.58,9.97,11.33,0.18,0.5,287.0,706.0135298,0.85,45.41,40.09,14.0,0.05,0.25,0.18,0.33
